ALEJANDRA ;;;;;;;;;;;;;;MARCELO;;;;;;;;;;;;;;JOEL;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;;2026;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;;2026;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
BLOQUEADO; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;BLOQUEADO; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;BLOQUEADO; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- 
BORNERAS; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;BORNERAS; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;BORNERAS; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Variacion %;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;;Variacion %;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;;Variacion %;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
BLOQUEADO;0;0;0;0;0;0;0;0;0;0;0;0;;BLOQUEADO;0;0;0;0;0;0;0;0;0;0;0;0;;BLOQUEADO;0;0;0;0;0;0;0;0;0;0;0;0
BORNERAS;0;0;0;0;0;0;0;0;0;0;0;0;;BORNERAS;0;0;0;0;0;0;0;0;0;0;0;0;;BORNERAS;0;0;0;0;0;0;0;0;0;0;0;0
CANALETAS;-18,28%;12,62%;-19,58%;-1,38%;-29,74%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;;CANALETAS;3,72%;0,91%;-40,38%;-77,47%;-33,85%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;;CANALETAS;-7,58%;-76,26%;52,64%;-100,00%;-80,18%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%
EXTENSIONES;97,54%;-14,72%;-19,87%;12,64%;9,13%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;;EXTENSIONES;1074,83%;340,02%;4,26%;12,58%;-44,95%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;;EXTENSIONES;-34,49%;-16,29%;-82,08%;-100,00%;-99,19%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%
HERRAMIENTAS;0;266,20%;102,62%;476,01%;17,07%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;;HERRAMIENTAS;-78,52%;0;11,91%;0;0;0;0;-100,00%;-100,00%;-100,00%;0;-100,00%;;HERRAMIENTAS;0;194,27%;0;0;0;0;0;0;0;-100,00%;-100,00%;0
ILUMINACION;-89,26%;-45,81%;115,06%;80,89%;-10,25%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;;ILUMINACION;-100,00%;0;-63,40%;256,73%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;;ILUMINACION;0;0;0;0;0;0;0;0;-100,00%;-100,00%;-100,00%;-100,00%
OBSOLETO;-69,75%;-100,00%;0;-55,41%;352,11%;-100,00%;-100,00%;0;0;-100,00%;0;-100,00%;;OBSOLETO;0;0;0;0;0;0;0;0;0;0;0;0;;OBSOLETO;0;0;0;0;0;0;0;0;0;0;0;0
PLACAS MURALES;-66,96%;51,51%;-43,15%;-66,78%;139,64%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;;PLACAS MURALES;0;0;0;0;0;0;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;;PLACAS MURALES;-90,97%;0;149,58%;-100,00%;-42,50%;-100,00%;0;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%
PORTALAMPARAS;-55,44%;184,00%;-41,62%;-62,89%;339,30%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;;PORTALAMPARAS;-59,89%;0;-51,02%;865,41%;559,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;;PORTALAMPARAS;0;0;-77,26%;0;0;-100,00%;0;0;-100,00%;0;-100,00%;-100,00%
Proceso de Alimentos;0;0;0;0;0;0;0;0;0;0;0;0;;Proceso de Alimentos;0;0;0;0;0;0;0;0;0;0;0;0;;Proceso de Alimentos;0;0;0;0;0;-100,00%;0;0;0;0;-100,00%;0
SMART;-100,00%;0;-81,89%;0;-100,00%;-100,00%;-100,00%;0;0;0;0;-100,00%;;SMART;-94,10%;0;-96,00%;-216,47%;0;0;0;0;0;-100,00%;-100,00%;0;;SMART;0;0;725,27%;-100,00%;-100,00%;-100,00%;0;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%
VOLANTES;-10,68%;99,60%;-19,20%;35,89%;-15,14%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;;VOLANTES;-56,05%;0;66,47%;-25,87%;341,79%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%;;VOLANTES;-100,00%;0;263,35%;-100,00%;-49,39%;-100,00%;0;-100,00%;-100,00%;-100,00%;-100,00%;-100,00%
